id,rtti_name,short_name,vtable_rva
331,PlatformTriggerActivatedEvent,platformtriggeractivated,0x2b53ae8
332,PlatformTriggerDeactivatedEvent,platformtriggerdeactivated,0x2b539d0
333,PlatformTriggerUnlockedEvent,platformtriggerunlocked,0x2b53b20
334,PlayAmmunitionReloadFinishedSoundEvent,playammunitionreloadfinishedsound,0x2b37560
335,PlayerAlertEvent,playeralert,0x2b53e30
336,PlayerBlueprintAddedEvent,playerblueprintadded,0x2b56be8
337,PlayerBuildTaskAddedEvent,playerbuildtaskadded,0x2b57438
338,PlayerCameraModeChangedEvent,playercameramodechanged,0x2b4b8c8
339,PlayerChangedTargetEvent,playerchangedtarget,0x2b53d88
340,PlayerCraftedAmmoEvent,playercraftedammo,0x2b57198
341,PlayerCreatedEvent,playercreated,0x2af5de8
342,PlayerDetectedObjectEvent,playerdetectedobject,0x2b57a20
343,PlayerDiscoveredComponentEvent,playerdiscoveredcomponent,0x2b57a58
344,PlayerDiscoveredMissionOfferEvent,playerdiscoveredmissionoffer,0x2b57b70
345,PlayerHackedObjectEvent,playerhackedobject,0x2b54ae0
346,PlayerInteractionEvent,playerinteraction,0x2b55f70
347,PlayerInterfaceUpdatedEvent,playerinterfaceupdated,0x2af5ec8
348,PlayerOwnedObjectAttackedObjectEvent,playerownedobjectattackedobject,0x2b56478
349,PlayerOwnedObjectCollectedResourceEvent,playerownedobjectcollectedresource,0x2b57208
350,PlayerOwnedObjectDroppedObjectEvent,playerownedobjectdroppedobject,0x2b53df8
351,PlayerOwnedObjectKilledObjectEvent,playerownedobjectkilledobject,0x2b57b38
352,PlayerOwnedObjectKilledEvent,playerownedobjectwaskilled,0x2b57c50
353,PlayerPriceModifierAddedEvent,playerpricemodifieradded,0x2b56d38
354,PlayerPriceModifiersUpdatedEvent,playerpricemodifiersupdated,0x2af5e58
355,PlayerResearchAddedEvent,playerresearchadded,0x2b56d00
356,PlayerShipHitEvent,playershiphit,0x2b56440
357,PlayerTradeDiscoveredEvent,playertradediscovered,0x2b57ac8
358,PlayerVisibleRoomAddedEvent,playervisibleroomadded,0x2b53650
359,PlayerVisibleRoomRemovedEvent,playervisibleroomremoved,0x2b536f8
360,PlayerWarningEvent,playerwarning,0x2b54568
361,PlayRandomNoiseEvent,playrandomnoise,0x2b54a00
362,PlaySoundEvent,playsound,0x2b54b50
363,POIAddedEvent,poiadded,0x2b5c7e0
364,POIRemovedEvent,poiremoved,0x2b5c7a8
365,PrimaryWeaponRangeRequestedEvent,primaryweaponrangerequested,0x2b53ed8
366,ProcessAssignedRecyclableObjectEvent,processassignedrecyclableobject,0x2b529a0
367,ProcessingModuleAvailableEvent,processingmoduleavailable,0x2b528c0
368,ProductionCancelledEvent,productioncancelled,0x2b57898
369,ProductionFinishedEvent,productionfinished,0x2b57240
370,ProductionPausedEvent,productionpaused,0x2b572b0
371,ProductionResumedEvent,productionresumed,0x2b572e8
372,ProductionStartedEvent,productionstarted,0x2b57278
373,PropsDespawningEvent,propsdespawning,0x2b57908
374,PropsGeneratedEvent,propsgenerated,0x2b57860
375,PurgeBoardingOperationEvent,purgeboardingoperation,0x2b57fd0
376,PurgeBuildTaskEvent,purgebuildtask,0x2b58008
377,PurgeOperationEvent,purgeoperation,0x2b57eb8
378,PurgeTradeEvent,purgetrade,0x2b57f60
379,RadarVisibilityChangedEvent,radarvisibilitychanged,0x2b57e80
380,RecyclableEjectedEvent,recyclableejected,0x2a968e8
381,RecyclableNearFurnaceEvent,recyclablenearfurnace,0x2b52968
382,RecyclableProcessedEvent,recyclableprocessedevent,0x2b529d8
383,RecyclableProcessingStartedEvent,recyclableprocessingstartedevent,0x2b52a10
384,RegionAsteroidMinedEvent,regionasteroidmined,0x2b571d0
385,RelationChangedEvent,relationchanged,0x2b55020
386,RelationRangeChangedEvent,relationrangechanged,0x2b555d0
387,RemoveCollisionFilterEvent,removecollisionfilter,0x2b53ab0
388,RemovedFromFormationEvent,removedfromformation,0x2af5fe0
389,RemoveRegionObjectsEvent,removeregionobjects,0x2b5c380
390,RemoveTempComponentEvent,removetempcomponent,0x2b4b890
391,RepairEvent,repair,0x2b56da8
392,RepairRequestedEvent,repairrequested,0x2b54680
393,ReplacePhysicsShapesEvent,replacephysicsshapes,0x2b52a48
394,ResetDockStateEvent,resetdockstate,0x2a96990
395,ResetZoomGogglesEvent,resetzoomgoggles,0x2af5d78
396,ResourceAreaActivatedEvent,resourceareaactivated,0x2b52c40
397,ResourceAreaRespawnJobFinishedEvent,resourcearearespawnjobfinished,0x2b52b98
398,ResourceAreaSpawnedEvent,resourceareaspawned,0x2b52b28
399,ResourceAreaDepletedEvent,resourceareadepleted,0x2b52af0
400,ResourceProbeLaunchedEvent,resourceprobelaunched,0x2b55b10
401,RestoreEvent,restore,0x2b57ba8
402,RestoredEvent,restored,0x2a96cd8
403,ResumeEvent,resume,0x2b5c8f8
404,RetrievedFromInternalStorageEvent,retrievedfrominternalstorage,0x2b56a98
405,ReturnUnitEvent,returnunit,0x2b546f0
406,SalvageClaimLostEvent,salvageclaimlost,0x2b57390
407,SatelliteLaunchedEvent,satellitelaunched,0x2b55b80
408,ScanAbortedEvent,scanaborted,0x2b55480
409,ScanFinishedEvent,scanfinished,0x2b55368
410,ScanStartedEvent,scanstarted,0x2b55330
411,ScenarioConsoleLeftEvent,scenarioconsoleleft,0x2af5cd0
412,SectorAddedEvent,sectoradded,0x2b549c8
413,SectorChangedOwnerEvent,sectorchangedowner,0x2b56050
414,SectorChangedTrueOwnerEvent,sectorchangedtrueowner,0x2b560f8
415,SectorRemovedEvent,sectorremoved,0x2b54990
416,SectorResourceDepletedEvent,sectorresourcedepleted,0x2b570b8
417,SensorTriggeredEvent,sensortriggered,0x2b4b820
418,SetDetectedResourceAreaOverlapFractionEvent,setdetectedresourceareaoverlapfraction,0x2b52b60
419,SetKnownToPlayerEvent,setknowntoplayer,0x2b55918
420,SetMinHullValueEvent,setminhullvalue,0x2b53c38
421,SetStoreShipAllowedEvent,setstoreshipallowed,0x2a969c8
422,SetTerraformingPlanetTextureEvent,setterraformingplanettexture,0x2b52cb0
423,ShieldDamagedEvent,shielddamaged,0x2b55758
424,ShieldRepairedEvent,shieldrepaired,0x2b55720
425,ShipBuiltEvent,shipbuilt,0x2b57518
426,ShootTargetRemovedEvent,shoottargetremoved,0x2b53030
427,ShootTargetSetEvent,shoottargetset,0x2b53880
428,SignalLeakRepairedEvent,signalleakrepaired,0x2b53490
429,SignalLeaksCreatedEvent,signalleakscreated,0x2b53998
430,SignalNextEnvMapProbeRenderEvent,signalnextenvmapproberender,0x2b5c268
431,SignalUnlockFailedEvent,signalunlockfailed,0x2b53618
432,SignalUnlockFinishedEvent,signalunlockfinished,0x2b535e0
433,SignalUnlockImpossibleEvent,signalunlockimpossible,0x2b534c8
434,SignalUnlockStartedEvent,signalunlockstarted,0x2b53570
435,SpaceReservationExpiredEvent,spacereservationexpired,0x2b576a0
436,SpawnSurfaceAttachmentEvent,spawnsurfaceattachment,0x2b53a40
437,SpeakFinishedEvent,speakfinished,0x2b54d10
438,SpeakLineFinishedEvent,speaklinefinished,0x2b544c0
439,SpeakTimerTriggeredEvent,speaktimertriggered,0x2b544f8
440,StanceActivatedEvent,stanceactivated,0x2b52c78
441,StartAmmunitionReloadEvent,startammunitionreload,0x2b37598
442,StartBoostEvent,startboost,0x2b5cb28
443,StartControlEvent,startcontrol,0x2af5fa8
444,StartDialogEvent,startdialog,0x2b5cab8
445,StartedAimingEvent,startedaiming,0x2b530a0
446,StartedShootingEvent,startedshooting,0x2b15318
447,StartPhaseEvent,startphase,0x2b52888
448,StartTravelModeEvent,starttravelmode,0x2b5cb60
449,StationBuiltEvent,stationbuilt,0x2b574e0
450,StopBoostEvent,stopboost,0x2a96e60
